priority,scenario,objective,range,xmin,xmax,ymin,ymax
A,Bas,Agr,1.4,0,1.4,80,83.5
B,Bas,Wtr,18.4,0,18.4,75,78.5
C,Bas,Cnt,14.7,0,14.7,70,73.5
D,Bas,Qlt,7.9,0,7.9,65,68.5
E,Fert,Agr,1.4,-4.4,-3,60,63.5
F,Fert,Wtr,23.1,4.3,27.4,55,58.5
G,Fert,Cnt,15.4,0,15.4,50,53.5
H,Fert,Qlt,7.9,3.3,11.2,45,48.5
I,Fall,Agr,1.8,-0.5,1.3,40,43.5
L,Fall,Wtr,20.4,-1,19.4,35,38.5
M,Fall,Cnt,20.7,5.7,26.4,30,33.5
N,Fall,Qlt,8.7,0.7,9.4,25,28.5
O,FeFa,Agr,1.9,-4.9,-3,20,23.5
P,FeFa,Wtr,23.2,4.4,27.55,15,18.5
Q,FeFa,Cnt,21.6,5.5,27.07,10,13.5
R,FeFa,Qlt,8.9,3.9,12.84,5,8.5
