Class,Species,Common name,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Types of dispersal,Database/study
Insects,Bombus pascuorum,Common carder bee,512.8,,,Foraging range,"Carvell et. al, 2012"
Insects,Bombus pascuorum,Common carder bee,337,,,Foraging range,"Redhead et al., 2015"
Insects,Bombus terrestris,Buff-tailed bumblebee,551,,,Foraging range,"Redhead et al., 2015"
Insects,Bombus lapidarius,Red-tailed bumblebee,536,,,Foraging range,"Redhead et al., 2015"
Insects,Bombus lapidarius,Red-tailed bumblebee,630.9,,,Foraging range,"Carvell et. al, 2012"
Insects,Bombus hortorum,Small Garden Bumblebee,273,,,Foraging range,"Redhead et al., 2015"
Insects,Bombus ruderatus,Large Garden Bumblebee,502,,,Foraging range,"Redhead et al., 2015"
Insects,Aphantopus hyperantus,,92,460,,Mean distance between recaptures,"Schneider, 2003"
Insects,Boloria aquilonaris,,205,1270,,Mean distance between recaptures,"Schneider, 2003"
Insects,Erynnis tages,,85,660,,Mean distance between recaptures,"Schneider, 2003"
Insects,Euphydryas aurinia,,70,486,,Mean distance between recaptures,"Schneider, 2003"
Insects,Euphydryas aurinia,,630,1300,,Mean distance between recaptures,"Schneider, 2003"
Insects,Euphydryas maturna,,224,640,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena helle,,44,280,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena helle,,44,380,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena hippothoe,,53,575,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena virgaureae,,57,1000,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena virgaureae,,61,1424,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lycaena virgaureae,,271,1460,,Mean distance between recaptures,"Schneider, 2003"
Insects,Lysandra coridon,,130,712,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,45,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,68,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,59,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,94,377,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,80,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,150,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,180,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,323,2100,,Mean distance between recaptures,"Schneider, 2003"
Insects,Maniola jurtina,,298,1770,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melanargia galathea,,105,433,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melitaea athalia,,101,787,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melitaea athalia,,505,1676,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melitaea cinxia,,353,1150,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melitaea cinxia,,480,1700,,Mean distance between recaptures,"Schneider, 2003"
Insects,Melitaea diamina,,441,1370,,Mean distance between recaptures,"Schneider, 2003"
Insects,Parnassius apollo,,341,1840,,Mean distance between recaptures,"Schneider, 2003"
Insects,Parnassius mnemosyne,,177,2250,,Mean distance between recaptures,"Schneider, 2003"
Insects,Plebejus argus,,23,395,,Mean distance between recaptures,"Schneider, 2003"
Insects,Proclossiana eunomia,,85,920,,Mean distance between recaptures,"Schneider, 2003"
Insects,Pseudophylotes baton,,102,1490,,Mean distance between recaptures,"Schneider, 2003"
Insects,Pyronia tithonus,,395,1060,,Mean distance between recaptures,"Schneider, 2003"
Insects,Thymelicus sylvestris,,70,,,Mean distance between recaptures,"Schneider, 2003"
Insects,Zygaena filipendulae,,33,533,,Mean distance between recaptures,"Schneider, 2003"
Birds,Accipiter nisus,Sparrowhawk,2200,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Acrocephalus schoenobaenus,Sedge warbler,1100,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Acrocephalus scirpaceus,Reed warbler,2900,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Aegithalos caudatus,Long-tailed tit,700,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Alauda arvensis,Eurasian skylark,200,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Alcedo atthis,Kingfisher,3800,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Anas platyrhynchos,Mallard,5200,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Apus apus,Swift,5200,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Ardea cinerea,Grey heron,7500,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Asio otus,Long-eared owl,1700,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Athene noctua,Little owl,400,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Branta canadensis,Canada goose,1500,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Linaria cannabina,Linnet,400,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
Birds,Carduelis carduelis,Goldfinch,800,,,Breeding distance,"Martin and Fahrig, 2018; Paradis et al., 1998"
