"Class";"Decile";"dd_m";"PC"
"Insects";"10%";71.0628046160955;NA
"Insects";"20%";152.240811427541;NA
"Insects";"30%";218.12441115857;NA
"Insects";"40%";306.361375084054;NA
"Insects";"50%";394.598339009538;NA
"Insects";"60%";485.188288639702;NA
"Insects";"70%";576.954731122206;NA
"Insects";"80%";689.898044946826;NA
"Insects";"90%";865.783726371625;NA
"Birds";"10%";451.170567165312;NA
"Birds";"20%";858.936585576461;NA
"Birds";"30%";1217.41220615769;NA
"Birds";"40%";1692.39240342782;NA
"Birds";"50%";2158.41071018342;NA
"Birds";"60%";2830.55249877322;NA
"Birds";"70%";3516.13712313483;NA
"Birds";"80%";4533.31169653406;NA
"Birds";"90%";6280.88034686756;NA
"Small mammals";"10%";539.998597138217;NA
"Small mammals";"20%";1022.67434864426;NA
"Small mammals";"30%";1484.66399651433;NA
"Small mammals";"40%";1988.02585165634;NA
"Small mammals";"50%";2677.56263952212;NA
"Small mammals";"60%";3367.09942738789;NA
"Small mammals";"70%";4194.54357282682;NA
"Small mammals";"80%";5725.31524188885;NA
"Small mammals";"90%";13027.5098253874;NA
