  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020       1       0  hru0001        0.000       0.000       1.232     -46.341          184.053           62.908            0.000            0.000           35.794          -21.552            6.177            0.575            0.076           37.704            9.465            5.316            0.811            0.000            0.000
   366    12    31  2020       2       0  hru0002        0.000       0.000       3.621     -45.167          184.053           62.908            0.000            0.000           36.983          -16.689            6.421            2.622            0.436           37.704            9.465           33.280            4.588            0.000            0.000
   366    12    31  2020       3       0  hru0003        0.000       0.000      -6.800     -39.553          184.053           62.908            0.000            0.000           36.040            1.399            6.340            5.307            1.841           37.704            9.465          188.511           27.947            0.000            0.000
   366    12    31  2020       4       0  hru0004        0.000       0.000     -14.679     -55.542          184.053           62.908            0.000            0.448           15.067           16.167            2.953            4.527            1.826           37.704            9.465          155.285           25.121            0.000            0.000
   366    12    31  2020       5       0  hru0005        0.000       0.000      -6.775     -39.633          184.053           62.908            0.000            0.000           35.994            1.283            6.335            4.976            1.806           37.704            9.465          186.028           27.965            0.000            0.000
   366    12    31  2020       6       0  hru0006        0.000       0.000      16.760     -30.367          184.382           68.593            0.000            1.140           24.612           -2.863            4.378            1.898            0.355           37.704            9.465           27.069            5.000            0.000            0.000
   366    12    31  2020       7       0  hru0007        0.000       0.000     -10.553     -57.107          184.382           68.593            0.000            0.000           23.962            9.045            4.345            4.802            2.147           37.704            9.465          168.362           29.061            0.000            0.000
   366    12    31  2020       8       0  hru0008        0.000       0.000     -14.552     -54.958          184.382           68.593            0.000            0.921           15.196           15.667            2.972            5.570            1.948           37.704            9.465          154.313           25.723            0.000            0.000
   366    12    31  2020       9       0  hru0009        0.000       0.000       8.305     -31.086          155.255           47.513            0.000            1.586           22.809          -11.053            3.989            0.755            0.075           37.704            9.465            4.355            0.559            0.000            0.000
   366    12    31  2020      10       0  hru0010        0.000       0.000      -2.545     -36.069          155.255           47.513            0.000            0.007           24.748            2.917            4.380            9.727            1.617           37.704            9.465           98.820           13.130            0.000            0.000
   366    12    31  2020      11       0  hru0011        0.000       0.000     -19.369     -59.125          155.255           47.513            0.000            1.074           14.916            9.641            2.769           12.110            2.086           37.704            9.465          115.348           15.845            0.000            0.000
   366    12    31  2020      12       0  hru0012        0.000       0.000      11.893     -35.702          173.878           54.152            0.000            1.110           22.888           -8.506            4.023            0.772            0.208           37.704            9.465           17.447            2.836            0.000            0.000
   366    12    31  2020      13       0  hru0013        0.000       0.000     -16.277     -59.611          173.878           54.152            0.000            0.000           23.883            7.809            4.302            4.055            2.225           37.704            9.465          162.754           26.863            0.000            0.000
   366    12    31  2020      14       0  hru0014        0.000       0.000     -10.765     -44.800          173.878           54.152            0.000            0.000           37.066           -3.265            6.481            6.481            2.218           37.704            9.465          167.853           25.357            0.000            0.000
   366    12    31  2020      15       0  hru0015        0.000       0.000      -3.187     -47.270          183.960           52.617            0.000            0.000           35.920          -19.234            6.207            5.724            0.964           37.704            9.465           40.950            6.881            0.000            0.000
   366    12    31  2020      16       0  hru0016        0.000       0.000     -13.784     -41.346          183.960           52.617            0.000            0.226           12.264           16.884            2.375            5.247            2.477           37.704            9.465          175.710           30.906            0.000            0.000
   366    12    31  2020      17       0  hru0017        0.000       0.000      -1.452      -8.266          186.785           61.414            0.000            0.049           11.744           17.795            2.320            3.887            1.521           38.333            9.637          168.899           32.297            0.000            0.000
   366    12    31  2020      18       0  hru0018        0.000       0.000      10.316       1.460          186.785           61.414            0.000            1.932           11.596            8.169            2.192            4.282            0.841           38.333            9.637           87.791           17.254            0.000            0.000
   366    12    31  2020      19       0  hru0019        0.000       0.000     -26.301     -48.793          131.145           17.003            0.000            0.027            8.443           -0.674            1.459            6.046            2.545           38.217            9.606          185.981           36.060            0.000            0.000
   366    12    31  2020      20       0  hru0020        0.000       0.000     -36.780     -48.642          167.286           11.792            0.000            0.246           13.165           -6.447            2.257            5.704            1.544           38.217            9.606          225.827           44.485            0.000            0.000
   366    12    31  2020      21       0  hru0021        0.000       0.000     -17.281     -44.143          116.951           21.379            0.000            0.031            8.425           -0.603            1.456            4.941            2.410           38.232            9.610          170.155           28.582            0.000            0.000
   366    12    31  2020      22       0  hru0022        0.000       0.000     -25.381     -44.315          135.940           17.010            0.000            0.530           14.467           -5.596            2.489            5.269            2.305           38.484            9.679          186.802           32.896            0.000            0.000
   366    12    31  2020      23       0  hru0023        0.000       0.000     -16.565     -38.467          116.951           21.379            0.000            0.190           13.774           -4.661            2.373            6.026            2.479           38.484            9.679          175.596           29.038            0.000            0.000
   366    12    31  2020      24       0  hru0024        0.000       0.000      10.384       2.939          172.904           72.784            0.000            0.880           18.147           13.590            3.338            5.774            1.855           38.901            9.793          148.578           28.004            0.000            0.000
