  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020       1       0  hru0001        0.000       0.000     -20.259     -67.886          199.608           63.406            0.000            0.000           34.995          -22.260            6.032            1.282            0.175           37.704            9.465           12.590            1.917            0.000            0.000
   366    12    31  2020       2       0  hru0002        0.000       0.000     -15.497     -69.229          199.608           63.406            0.000            0.000           36.390          -17.782            6.304            2.769            0.375           37.704            9.465           28.092            3.703            0.000            0.000
   366    12    31  2020       3       0  hru0003        0.000       0.000     -28.106     -63.564          199.608           63.406            0.000            0.000           35.079            2.543            6.167            7.823            1.889           37.704            9.465          205.426           28.697            0.000            0.000
   366    12    31  2020       4       0  hru0004        0.000       0.000     -40.753     -85.453          199.608           63.406            0.000            0.256           15.066           16.389            2.942            6.254            1.910           37.704            9.465          169.695           25.777            0.000            0.000
   366    12    31  2020       5       0  hru0005        0.000       0.000     -28.120     -63.662          199.608           63.406            0.000            0.000           35.004            2.332            6.158            7.145            1.862           37.704            9.465          201.858           28.786            0.000            0.000
   366    12    31  2020       6       0  hru0006        0.000       0.000      -6.948     -61.032          198.173           69.589            0.000            1.225           24.145           -4.961            4.267            2.563            0.494           37.704            9.465           24.827            4.671            0.000            0.000
   366    12    31  2020       7       0  hru0007        0.000       0.000     -37.618     -87.268          198.173           69.589            0.000            0.000           21.825           10.698            3.953           11.426            2.738           37.704            9.465          187.573           28.932            0.000            0.000
   366    12    31  2020       8       0  hru0008        0.000       0.000     -39.807     -84.412          198.173           69.589            0.000            0.417           14.986           16.098            2.918            8.353            2.207           37.704            9.465          168.911           27.368            0.000            0.000
   366    12    31  2020       9       0  hru0009        0.000       0.000     -15.422     -57.875          170.312           47.513            0.000            2.192           22.438          -12.468            3.906            0.575            0.043           37.704            9.465            2.715            0.244            0.000            0.000
   366    12    31  2020      10       0  hru0010        0.000       0.000     -37.710     -79.943          170.312           47.513            0.000            0.001           24.018            4.615            4.257           10.971            2.190           37.704            9.465          130.239           18.844            0.000            0.000
   366    12    31  2020      11       0  hru0011        0.000       0.000     -45.103     -89.558          170.312           47.513            0.000            1.251           14.748            8.525            2.728           11.922            1.832           37.704            9.465           98.342           13.009            0.000            0.000
   366    12    31  2020      12       0  hru0012        0.000       0.000     -10.845     -65.077          190.271           54.152            0.000            1.097           22.420           -9.896            3.924            1.251            0.244           37.704            9.465           18.391            2.830            0.000            0.000
   366    12    31  2020      13       0  hru0013        0.000       0.000     -43.871     -89.717          190.271           54.152            0.000            0.000           21.829            9.895            3.941           11.476            3.106           37.704            9.465          188.611           28.298            0.000            0.000
   366    12    31  2020      14       0  hru0014        0.000       0.000     -31.669     -69.121          190.271           54.152            0.000            0.000           37.015           -3.198            6.467            8.711            2.265           37.704            9.465          182.755           26.158            0.000            0.000
