  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020       1       0  hru0001        0.000       0.000      16.685      -0.724          184.053           62.908            0.000            0.000           23.601          -12.668            4.089            0.634            0.068           37.704            9.465            8.295            0.855            0.000            0.000
   366    12    31  2020       2       0  hru0002        0.000       0.000      21.379       3.605          184.053           62.908            0.000            0.000           24.809           -8.035            4.335            2.387            0.404           37.704            9.465           32.341            4.175            0.000            0.000
   366    12    31  2020       3       0  hru0003        0.000       0.000       6.947      -2.057          184.053           62.908            0.000            0.000           25.515            9.009            4.533            3.997            1.693           37.704            9.465          178.515           26.924            0.000            0.000
   366    12    31  2020       4       0  hru0004        0.000       0.000       6.680      -3.436          184.053           62.908            0.000            0.145           10.944           18.386            2.265            4.151            1.686           37.704            9.465          152.080           24.267            0.000            0.000
   366    12    31  2020       5       0  hru0005        0.000       0.000       6.916      -2.150          184.053           62.908            0.000            0.000           25.487            8.892            4.531            3.756            1.656           37.704            9.465          176.046           26.910            0.000            0.000
   366    12    31  2020       6       0  hru0006        0.000       0.000      24.755       7.290          184.382           68.593            0.000            1.184           14.934            2.421            2.714            1.602            0.309           37.704            9.465           24.711            4.403            0.000            0.000
   366    12    31  2020       7       0  hru0007        0.000       0.000       7.760      -2.896          184.382           68.593            0.000            0.000           15.302           14.655            2.852            3.690            1.891           37.704            9.465          163.668           28.073            0.000            0.000
   366    12    31  2020       8       0  hru0008        0.000       0.000       8.901      -2.537          184.382           68.593            0.000            0.328           10.967           18.216            2.237            4.700            1.779           37.704            9.465          149.845           25.073            0.000            0.000
   366    12    31  2020       9       0  hru0009        0.000       0.000      12.159      -1.375          155.255           47.513            0.000            1.476           13.326           -5.231            2.362            0.734            0.071           37.704            9.465            4.392            0.571            0.000            0.000
   366    12    31  2020      10       0  hru0010        0.000       0.000       8.717      -0.583          155.255           47.513            0.000            0.029           15.676            9.190            2.844            9.043            1.593           37.704            9.465          103.609           14.252            0.000            0.000
   366    12    31  2020      11       0  hru0011        0.000       0.000       4.559      -5.733          155.255           47.513            0.000            0.337           10.380           11.705            2.000           11.789            2.013           37.704            9.465          120.572           16.677            0.000            0.000
   366    12    31  2020      12       0  hru0012        0.000       0.000      16.879       1.183          173.878           54.152            0.000            0.954           13.047           -3.411            2.312            1.304            0.245           37.704            9.465           19.121            2.901            0.000            0.000
   366    12    31  2020      13       0  hru0013        0.000       0.000       1.324      -5.991          173.878           54.152            0.000            0.000           14.957           13.041            2.770            3.457            1.993           37.704            9.465          163.461           27.104            0.000            0.000
   366    12    31  2020      14       0  hru0014        0.000       0.000       4.063      -5.930          173.878           54.152            0.000            0.000           25.038            2.694            4.407            4.695            1.954           37.704            9.465          163.713           25.327            0.000            0.000
   366    12    31  2020      15       0  hru0015        0.000       0.000      11.732      -2.688          183.960           52.617            0.000            0.000           23.462          -11.909            4.058            5.765            1.017           37.704            9.465           49.357            8.281            0.000            0.000
   366    12    31  2020      16       0  hru0016        0.000       0.000      -1.811      -6.261          183.960           52.617            0.000            0.073            9.074           17.145            1.832            4.989            2.489           37.704            9.465          173.883           30.933            0.000            0.000
   366    12    31  2020      17       0  hru0017        0.000       0.000       0.352      -5.075          186.785           61.414            0.000            0.025            8.721           18.069            1.800            3.697            1.347           38.333            9.637          165.243           31.405            0.000            0.000
   366    12    31  2020      18       0  hru0018        0.000       0.000       8.695      -1.668          186.785           61.414            0.000            0.856            7.056            5.260            1.349            4.139            0.769           38.333            9.637          100.092           18.612            0.000            0.000
