id,name,nswrm,obj_id
1,buffer_1,buffer,479
2,buffer_10,buffer,281
3,buffer_11,buffer,"509, 511"
4,buffer_12,buffer,235
5,buffer_13,buffer,617
6,buffer_14,buffer,350
7,buffer_15,buffer,184
8,buffer_16,buffer,839
9,buffer_17,buffer,724
10,buffer_18,buffer,723
11,buffer_19,buffer,788
12,buffer_2,buffer,710
13,buffer_20,buffer,"127, 131"
14,buffer_21,buffer,278
15,buffer_22,buffer,277
16,buffer_23,buffer,280
17,buffer_24,buffer,"26, 31, 32, 36"
18,buffer_25,buffer,879
19,buffer_26,buffer,875
20,buffer_27,buffer,185
21,buffer_28,buffer,"115, 116, 117"
22,buffer_29,buffer,531
23,buffer_3,buffer,468
24,buffer_30,buffer,"4636, 5136"
25,buffer_4,buffer,337
26,buffer_5,buffer,"206, 287, 856"
27,buffer_6,buffer,"140, 142"
28,buffer_7,buffer,762
29,buffer_8,buffer,372
30,buffer_9,buffer,"813, 814"
31,fallow_1,fallow,462
32,fallow_10,fallow,652
33,fallow_11,fallow,888
34,fallow_12,fallow,887
35,fallow_13,fallow,823
36,fallow_14,fallow,681
37,fallow_15,fallow,886
38,fallow_16,fallow,687
39,fallow_17,fallow,689
40,fallow_18,fallow,690
41,fallow_19,fallow,692
42,fallow_2,fallow,901
43,fallow_20,fallow,319
44,fallow_21,fallow,61
45,fallow_22,fallow,100
46,fallow_23,fallow,94
47,fallow_24,fallow,87
48,fallow_25,fallow,601
49,fallow_26,fallow,602
50,fallow_27,fallow,603
51,fallow_28,fallow,407
52,fallow_29,fallow,512
53,fallow_3,fallow,877
54,fallow_30,fallow,555
55,fallow_31,fallow,872
56,fallow_32,fallow,871
57,fallow_33,fallow,565
58,fallow_34,fallow,327
59,fallow_35,fallow,7
60,fallow_36,fallow,586
61,fallow_37,fallow,192
62,fallow_38,fallow,200
63,fallow_39,fallow,633
64,fallow_4,fallow,902
65,fallow_40,fallow,893
66,fallow_41,fallow,894
67,fallow_5,fallow,5288
68,fallow_6,fallow,391
69,fallow_7,fallow,390
70,fallow_8,fallow,401
71,fallow_9,fallow,653
72,grassslope_1,grassslope,"201, 203"
73,grassslope_10,grassslope,"589, 591"
74,grassslope_11,grassslope,295
75,grassslope_12,grassslope,"233, 234"
76,grassslope_13,grassslope,"214, 218, 222"
77,grassslope_14,grassslope,"271, 5074"
78,grassslope_15,grassslope,"269, 270"
79,grassslope_16,grassslope,"115, 118, 120, 123"
80,grassslope_17,grassslope,"112, 116"
81,grassslope_18,grassslope,49
82,grassslope_19,grassslope,"74, 93, 96, 99"
83,grassslope_2,grassslope,209
84,grassslope_20,grassslope,"85, 91"
85,grassslope_21,grassslope,72
86,grassslope_22,grassslope,"146, 153, 154"
87,grassslope_23,grassslope,"607, 608, 610, 613"
88,grassslope_24,grassslope,"596, 604"
89,grassslope_25,grassslope,"5085, 5099"
90,grassslope_26,grassslope,861
91,grassslope_27,grassslope,"314, 727"
92,grassslope_28,grassslope,304
93,grassslope_29,grassslope,"18, 445, 1855"
94,grassslope_3,grassslope,"284, 286"
95,grassslope_30,grassslope,5081
96,grassslope_31,grassslope,"31, 35"
97,grassslope_32,grassslope,"589, 590"
98,grassslope_33,grassslope,92
99,grassslope_34,grassslope,147
100,grassslope_4,grassslope,351
101,grassslope_5,grassslope,"2, 3, 5"
102,grassslope_6,grassslope,"1, 5, 6, 9, 12, 15"
103,grassslope_7,grassslope,237
104,grassslope_8,grassslope,252
105,grassslope_9,grassslope,"163, 171"
106,hedge_1,hedge,"5278, 5284"
107,hedge_10,hedge,705
108,hedge_11,hedge,"487, 491"
109,hedge_12,hedge,572
110,hedge_13,hedge,851
111,hedge_14,hedge,"507, 517, 518, 523"
112,hedge_15,hedge,250
113,hedge_16,hedge,264
114,hedge_17,hedge,443
115,hedge_18,hedge,455
116,hedge_19,hedge,"628, 631, 634"
117,hedge_2,hedge,126
118,hedge_20,hedge,632
119,hedge_21,hedge,"439, 440"
120,hedge_22,hedge,"193, 194, 195, 197"
121,hedge_23,hedge,594
122,hedge_24,hedge,806
123,hedge_25,hedge,"214, 215, 216, 221, 226, 232"
124,hedge_26,hedge,741
125,hedge_27,hedge,"740, 746, 751"
126,hedge_28,hedge,810
127,hedge_3,hedge,"122, 123, 124"
128,hedge_4,hedge,"74, 75, 76, 83"
129,hedge_5,hedge,106
130,hedge_6,hedge,371
131,hedge_7,hedge,262
132,hedge_8,hedge,423
133,hedge_9,hedge,706
134,lowtillcc_1,lowtillcc,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16"
135,lowtillcc_10,lowtillcc,107
136,lowtillcc_100,lowtillcc,5132
137,lowtillcc_101,lowtillcc,450
138,lowtillcc_102,lowtillcc,"456, 457, 5241"
139,lowtillcc_103,lowtillcc,458
140,lowtillcc_104,lowtillcc,464
141,lowtillcc_105,lowtillcc,"499, 500"
142,lowtillcc_106,lowtillcc,"501, 502"
